name,id,cmc,type,subtype,text,power,toughness
Static Orb,0,3,Artifact,None,"As long as Static Orb is untapped, players can't untap more than two permanents during their untap steps.",-999,-999
Sensory Deprivation,1,1,Enchantment,Aura,Enchant creature Enchanted creature gets -3/-0.,-999,-999
Road of Return,2,2,Sorcery,None,Choose one — • Return target permanent card from your graveyard to your hand. • Put your commander into your hand from the command zone. Entwine {2} (Choose both if you pay the entwine cost.),-999,-999
Storm Crow,3,2,Creature,Bird,Flying (This creature can't be blocked except by creatures with flying or reach.),1,2
Walking Sponge,4,2,Creature,Sponge,"{T}: Target creature loses your choice of flying, first strike, or trample until end of turn.",1,1
Ravnica at War,5,4,Sorcery,None,Exile all multicolored permanents.,-999,-999
Torrent of Fire,6,5,Sorcery,None,Torrent of Fire deals damage to any target equal to the highest converted mana cost among permanents you control.,-999,-999
Wyluli Wolf,7,2,Creature,Wolf,{T}: Target creature gets +1/+1 until end of turn.,1,1
Pteramander,8,1,Creature,SalamanderDrake,"Flying {7}{U}: Adapt 4. This ability costs {1} less to activate for each instant and sorcery card in your graveyard. (If this creature has no +1/+1 counters on it, put four +1/+1 counters on it.)",1,1
Nantuko Elder,9,3,Creature,InsectDruid,{T}: Add {C}{G}.,1,2
Vedalken Heretic,10,2,Creature,VedalkenRogue,"Whenever Vedalken Heretic deals damage to an opponent, you may draw a card.",1,1
Waterknot,11,3,Enchantment,Aura,"Enchant creature When Waterknot enters the battlefield, tap enchanted creature. Enchanted creature doesn't untap during its controller's untap step.",-999,-999
Ruthless Knave,12,3,Creature,OrcPirate,"{2}{B}, Sacrifice a creature: Create two Treasure tokens. (They're artifacts with ""{T}, Sacrifice this artifact: Add one mana of any color."") Sacrifice three Treasures: Draw a card.",3,2
Palinchron,13,7,Creature,Illusion,"Flying When Palinchron enters the battlefield, untap up to seven lands. {2}{U}{U}: Return Palinchron to its owner's hand.",4,5
"Hua Tuo, Honored Physician",14,3,LegendaryCreature,Human,"{T}: Put target creature card from your graveyard on top of your library. Activate this ability only during your turn, before attackers are declared.",1,2
Veil of Summer,15,1,Instant,None,Draw a card if an opponent has cast a blue or black spell this turn. Spells you control can't be countered this turn. You and permanents you control gain hexproof from blue and from black until end of turn. (You and they can't be the targets of blue or black spells or abilities your opponents control.),-999,-999
Disposal Mummy,16,3,Creature,ZombieJackal,"When Disposal Mummy enters the battlefield, exile target card from an opponent's graveyard.",2,3
Wei Strike Force,17,3,Creature,HumanSoldier,Horsemanship (This creature can't be blocked except by creatures with horsemanship.),2,1
Marang River Prowler,18,3,Creature,HumanRogue,Marang River Prowler can't block and can't be blocked. You may cast Marang River Prowler from your graveyard as long as you control a black or green permanent.,2,1
Aura Graft,19,2,Instant,None,Gain control of target Aura that's attached to a permanent. Attach it to another permanent it can enchant.,-999,-999
Murk Dwellers,20,4,Creature,Zombie,"Whenever Murk Dwellers attacks and isn't blocked, it gets +2/+0 until end of combat.",2,2
Whispering Shade,21,4,Creature,Shade,Swampwalk (This creature can't be blocked as long as defending player controls a Swamp.) {B}: Whispering Shade gets +1/+1 until end of turn.,1,1
Wall of Fortune,22,2,ArtifactCreature,Wall,Defender You may tap an untapped Wall you control to have any player reroll a die that player rolled.,0,4
Saheeli's Artistry,23,6,Sorcery,None,"Choose one or both — • Create a token that's a copy of target artifact. • Create a token that's a copy of target creature, except it's an artifact in addition to its other types.",-999,-999
"Kalitas, Bloodchief of Ghet",24,7,LegendaryCreature,VampireWarrior,"{B}{B}{B}, {T}: Destroy target creature. If that creature dies this way, create a black Vampire creature token. Its power is equal to that creature's power and its toughness is equal to that creature's toughness.",5,5
Safewright Quest,25,1,Sorcery,None,"Search your library for a Forest or Plains card, reveal it, and put it into your hand. Then shuffle your library.",-999,-999
Instill Infection,26,4,Instant,None,Put a -1/-1 counter on target creature. Draw a card.,-999,-999
Weakstone,27,4,Artifact,None,Attacking creatures get -1/-0.,-999,-999
Demon,28,0,TokenCreature,Demon,Flying,5,5
Strength of Night,29,3,Instant,None,"Kicker {B} (You may pay an additional {B} as you cast this spell.) Creatures you control get +1/+1 until end of turn. If this spell was kicked, Zombie creatures you control get an additional +2/+2 until end of turn.",-999,-999
"Spike, Tournament Grinder",30,4,LegendaryCreature,HumanGamer,({B/P} can be paid with either {B} or 2 life.) {B/P}{B/P}{B/P}{B/P}: Reveal a card you own from outside the game that has been banned or restricted in a Constructed format and put it into your hand.,1,1
Keldon Raider,31,4,Creature,HumanWarrior,"When Keldon Raider enters the battlefield, you may discard a card. If you do, draw a card.",4,3
Behemoth Sledge,33,3,Artifact,Equipment,Equipped creature gets +2/+2 and has trample and lifelink. Equip {3},-999,-999
Kindred Discovery,34,5,Enchantment,None,"As Kindred Discovery enters the battlefield, choose a creature type. Whenever a creature you control of the chosen type enters the battlefield or attacks, draw a card.",-999,-999
Stern Marshal,35,3,Creature,HumanSoldier,"{T}: Target creature gets +2/+2 until end of turn. Activate this ability only during your turn, before attackers are declared.",2,2
Trapjaw Tyrant,36,5,Creature,Dinosaur,"Enrage — Whenever Trapjaw Tyrant is dealt damage, exile target creature an opponent controls until Trapjaw Tyrant leaves the battlefield.",5,5
Strength of Unity,37,4,Enchantment,Aura,Enchant creature Domain — Enchanted creature gets +1/+1 for each basic land type among lands you control.,-999,-999
Savai Triome,38,0,Land,MountainPlainsSwamp,"({T}: Add {R}, {W}, or {B}.) Savai Triome enters the battlefield tapped. Cycling {3} ({3}, Discard this card: Draw a card.)",-999,-999
Forest 2 // Forest 2,39,0,Card // Card,None,None,-999,-999
