cardID,username,condition,price,id,inCart,isSold
0,username117,Moderately Played,$75.61 ,listing0,0,0
0,username90,Heavily Played,$43.90 ,listing1,0,0
0,username218,Lightly Played,$91.07 ,listing2,0,0
0,username11,Near Mint,$79.19 ,listing3,0,0
0,username51,Lightly Played,$36.58 ,listing4,0,0
1,username98,Moderately Played,$15.55 ,listing5,0,0
1,username219,Lightly Played,$56.32 ,listing6,0,0
1,username110,Lightly Played,$59.17 ,listing7,0,0
1,username114,Moderately Played,$69.53 ,listing8,0,0
1,username39,Damaged,$68.36 ,listing9,0,0
2,username120,Damaged,$89.79 ,listing10,0,0
2,username142,Damaged,$58.07 ,listing11,0,0
2,username91,Lightly Played,$37.51 ,listing12,0,0
2,username53,Heavily Played,$4.63 ,listing13,0,0
2,username214,Damaged,$61.94 ,listing14,0,0
3,username148,Damaged,$80.98 ,listing15,0,0
3,username83,Heavily Played,$10.74 ,listing16,0,0
3,username23,Near Mint,$53.33 ,listing17,0,0
3,username149,Lightly Played,$36.55 ,listing18,0,0
3,username44,Near Mint,$39.11 ,listing19,0,0
4,username23,Moderately Played,$83.50 ,listing20,0,0
4,username239,Near Mint,$67.15 ,listing21,0,0
4,username35,Lightly Played,$58.45 ,listing22,0,0
4,username212,Moderately Played,$63.52 ,listing23,0,0
4,username154,Damaged,$2.54 ,listing24,0,0
5,username194,Lightly Played,$29.72 ,listing25,0,0
5,username248,Heavily Played,$43.63 ,listing26,0,0
5,username67,Heavily Played,$41.60 ,listing27,0,0
5,username109,Heavily Played,$74.28 ,listing28,0,0
5,username244,Damaged,$92.41 ,listing29,0,0
6,username87,Moderately Played,$71.57 ,listing30,0,0
6,username204,Damaged,$50.62 ,listing31,0,0
6,username31,Damaged,$52.52 ,listing32,0,0
6,username243,Moderately Played,$3.01 ,listing33,0,0
6,username209,Heavily Played,$33.02 ,listing34,0,0
7,username1,Moderately Played,$49.53 ,listing35,0,0
7,username34,Lightly Played,$24.55 ,listing36,0,0
7,username37,Lightly Played,$22.14 ,listing37,0,0
7,username165,Heavily Played,$77.29 ,listing38,0,0
7,username91,Moderately Played,$33.17 ,listing39,0,0
8,username212,Moderately Played,$56.94 ,listing40,0,0
8,username165,Heavily Played,$91.01 ,listing41,0,0
8,username8,Near Mint,$46.44 ,listing42,0,0
8,username182,Lightly Played,$69.35 ,listing43,0,0
8,username142,Heavily Played,$87.85 ,listing44,0,0
9,username54,Moderately Played,$8.70 ,listing45,0,0
